grid;institution_name;country_code;country;region;global_n_s;latitude;longitude;organization_type_id;organization_type;p_full;tncs;mncs;pp_top_prop1;pp_collab;pp_int_collab;pp_top_prop5;pp_top_prop10;pp_top_prop20;pp_top_prop50;native_count;newcomer_count;outgoer_count;total_researcher_count;native_percentage;newcomer_percentage;outgoer_percentage;p_rnk;tncs_rnk;mncs_rnk;pp_collab_rnk;pp_int_collab_rnk;pp_top_prop1_rnk;pp_top_prop5_rnk;pp_top_prop10_rnk;pp_top_prop20_rnk;pp_top_prop50_rnk;native_count_rnk;newcomer_count_rnk;outgoer_count_rnk;total_researcher_count_rnk;native_percentage_rnk;newcomer_percentage_rnk;outgoer_percentage_rnk
grid.17703.32;Intl. Agency  Res. On Cancer;FR;France;Europe;Global North;45.7435;4.8761;5;Government;4143;13168.700;3.179;0.059;0.902;0.872;0.160;0.262;0.422;0.749;149;1077;164;1390;10.719;77.482;11.799;1822;781;11;266;3;19;34;36;31;24;2937;1317;2823;2338;2860;58;2761
grid.14105.31;Med. Res. Council;GB;United Kingdom;Europe;Global North;51.5148;-0.119432;5;Government;1978;6222.950;3.146;0.060;0.882;0.589;0.178;0.267;0.441;0.729;125;2097;202;2424;5.157;86.510;8.333;2740;1527;12;387;240;17;22;27;24;40;2974;669;2645;1457;3002;6;2959
grid.280128.1;Natl. Human Genome Res. Inst.;US;United States;North America;Global North;38.997;-77.0969;4;Facility;3843;11650.000;3.031;0.060;0.843;0.424;0.173;0.266;0.412;0.720;282;989;340;1611;17.505;61.390;21.105;1923;885;13;627;1006;17;26;29;41;51;2650;1430;1939;2080;2532;484;1219
grid.42475.30;MRC Laboratory  Molecular Biology;GB;United Kingdom;Europe;Global North;52.1753;0.133323;4;Facility;3315;9944.720;3.000;0.070;0.700;0.537;0.230;0.360;0.516;0.791;287;1035;314;1636;17.543;63.264;19.193;2142;1031;14;2103;417;12;9;8;8;6;2639;1373;2048;2054;2526;414;1677
grid.65499.37;Dana-Farber Cancer Inst.;US;United States;North America;Global North;42.3379;-71.1073;4;Facility;19031;54327.100;2.855;0.063;0.935;0.403;0.206;0.314;0.471;0.753;1518;7144;1893;10555;14.382;67.684;17.935;424;159;15;115;1128;15;15;16;15;21;928;126;358;265;2694;259;1910
grid.419765.8;Swiss Inst.  Bioinmatics;CH;Switzerland;Europe;Global North;46.1935;6.15116;7;Nonprofit;2660;7592.710;2.854;0.054;0.968;0.681;0.191;0.305;0.460;0.763;189;937;130;1256;15.048;74.602;10.350;2449;1299;16;29;77;24;18;18;19;14;2842;1506;2933;2548;2650;103;2868
grid.250671.7;Salk Inst.  Biological Studies;US;United States;North America;Global North;32.8872;-117.246;7;Nonprofit;3819;10790.900;2.826;0.076;0.780;0.431;0.228;0.335;0.490;0.754;405;1116;319;1840;22.011;60.652;17.337;1932;956;17;1202;976;9;10;11;11;19;2422;1259;2021;1869;2321;512;2027
grid.21155.32;BGI Group (China);CN;China;Asia & Pacific;Global South;40.0041;116.385;2;Company;2550;7158.530;2.807;0.065;0.972;0.595;0.178;0.267;0.415;0.715;1152;420;336;1908;60.377;22.013;17.610;2484;1356;18;24;220;14;22;27;36;64;1186;2574;1960;1803;378;2590;1968
grid.413735.7;Harvard–MIT Division  Health Sciences  & Technology;US;United States;North America;Global North;42.3618;-71.0869;3;Education;2708;7463.640;2.756;0.074;0.983;0.538;0.225;0.349;0.502;0.780;150;1106;232;1488;10.081;74.328;15.591;2425;1313;19;6;415;10;11;9;9;8;2936;1274;2474;2223;2896;106;2309
grid.18886.3f;Inst.  Cancer Res.;GB;United Kingdom;Europe;Global North;51.3443;-0.18921;3;Education;5459;14683.100;2.690;0.058;0.829;0.537;0.188;0.293;0.450;0.756;570;2341;556;3467;16.441;67.522;16.037;1406;711;20;733;417;22;19;21;21;17;2074;589;1254;1012;2582;265;2240
grid.418158.1;Roche (United States);US;United States;North America;Global North;37.6564;-122.378;2;Company;7766;20675.600;2.662;0.061;0.693;0.365;0.185;0.287;0.441;0.736;2445;2849;728;6022;40.601;47.310;12.089;1017;538;21;2179;1331;16;20;22;24;33;539;470;979;568;1331;1088;2732
grid.418615.f;Max Planck Inst.  Biochemistry;DE;Germany;Europe;Global North;48.1059;11.4595;4;Facility;2903;7659.020;2.638;0.059;0.800;0.603;0.211;0.330;0.482;0.764;331;717;319;1367;24.214;52.451;23.336;2330;1285;22;987;190;19;12;12;12;13;2555;1902;2021;2379;2224;863;845
grid.445003.6;SLAC Natl. Accelerator Laboratory;US;United States;North America;Global North;37.4147;-122.222;4;Facility;8068;21143.800;2.621;0.051;0.937;0.661;0.185;0.299;0.469;0.773;559;1402;234;2195;25.467;63.872;10.661;982;527;23;107;95;31;20;20;17;10;2090;1002;2455;1587;2174;385;2836
grid.134907.8;Rockefeller Univ.;US;United States;North America;Global North;40.7625;-73.9556;3;Education;9057;23595.000;2.605;0.059;0.789;0.509;0.201;0.319;0.475;0.768;828;2372;640;3840;21.563;61.771;16.667;882;459;24;1094;532;19;17;14;14;12;1563;580;1094;918;2342;471;2140
grid.415719.f;Churchill Hosp.;GB;United Kingdom;Europe;Global North;51.7638;-1.21875;6;Healthcare;3423;8770.120;2.562;0.054;0.872;0.521;0.166;0.259;0.397;0.691;190;1695;285;2170;8.756;78.111;13.134;2090;1141;25;443;471;24;28;38;63;143;2840;845;2190;1610;2950;44;2618
grid.14925.3b;Institut Gustave Roussy;FR;France;Europe;Global North;48.7946;2.34878;4;Facility;7988;20167.200;2.525;0.052;0.873;0.547;0.161;0.256;0.404;0.714;631;3500;1081;5212;12.107;67.153;20.741;991;548;26;436;388;27;32;42;51;66;1938;372;676;654;2804;272;1317
grid.470204.5;INFN Sezione di Firenze;IT;Italy;Europe;Global North;43.82;11.1925;4;Facility;2808;7055.780;2.513;0.045;0.969;0.863;0.140;0.238;0.392;0.746;271;741;120;1132;23.940;65.459;10.601;2377;1379;27;27;5;44;74;69;66;25;2673;1857;2956;2742;2236;331;2843
grid.417851.e;Fermilab;US;United States;North America;Global North;41.8319;-88.2572;4;Facility;5024;12564.900;2.501;0.040;0.898;0.722;0.142;0.243;0.413;0.744;580;569;140;1289;44.996;44.143;10.861;1527;827;28;294;52;84;69;61;38;26;2057;2224;2906;2502;1050;1261;2825
grid.509979.b;Calinia NanoSystems Inst.;US;United States;North America;Global North;34.068;-118.443;4;Facility;2125;5296.640;2.493;0.057;0.935;0.414;0.202;0.320;0.466;0.751;153;803;110;1066;14.353;75.328;10.319;2684;1734;29;115;1070;23;16;13;18;22;2928;1718;2982;2865;2695;89;2871
grid.412157.4;Erasmus Hosp.;BE;Belgium;Europe;Global North;50.8136;4.26611;6;Healthcare;3808;9484.590;2.491;0.045;0.908;0.521;0.136;0.220;0.365;0.671;314;1175;441;1930;16.269;60.881;22.850;1938;1063;30;237;471;44;92;127;143;286;2590;1180;1588;1785;2591;504;919
grid.418116.b;Ctr. Léon Bérard;FR;France;Europe;Global North;45.741;4.87786;7;Nonprofit;2140;5250.920;2.454;0.052;0.902;0.415;0.157;0.239;0.372;0.693;187;1382;325;1894;9.873;72.967;17.160;2674;1745;31;266;1062;27;40;67;119;133;2850;1016;1996;1817;2904;132;2066
grid.11486.3a;Vlaams Instituut voor Biotechnologie;BE;Belgium;Europe;Global North;51.0187;3.69376;4;Facility;5253;12665.300;2.411;0.047;0.947;0.649;0.177;0.280;0.444;0.755;566;1744;457;2767;20.455;63.029;16.516;1469;813;32;74;110;38;25;24;22;18;2081;818;1539;1279;2389;425;2161
grid.7719.8;Spanish Natl. Cancer Res. Ctr.;ES;Spain;Europe;Global North;40.4768;-3.69417;4;Facility;2846;6844.280;2.405;0.047;0.827;0.595;0.153;0.263;0.424;0.741;278;928;246;1452;19.146;63.912;16.942;2353;1408;33;753;220;38;49;33;27;28;2659;1520;2390;2261;2447;382;2097
grid.248762.d;BC Cancer Agency;CA;Canada;North America;Global North;49.2764;-123.163;6;Healthcare;4735;11351.200;2.397;0.042;0.861;0.498;0.133;0.218;0.365;0.691;616;2021;708;3345;18.416;60.419;21.166;1617;906;34;510;584;68;107;134;143;143;1974;708;1004;1053;2481;523;1202
grid.413615.4;Hamilton Health Sciences;CA;Canada;North America;Global North;43.2403;-79.8466;6;Healthcare;1500;3592.900;2.395;0.043;0.919;0.383;0.122;0.195;0.336;0.641;110;858;119;1087;10.120;78.933;10.948;2914;2233;35;181;1234;60;172;292;324;611;2993;1631;2958;2824;2891;33;2815
grid.11485.39;Cancer Res. UK;GB;United Kingdom;Europe;Global North;51.5315;-0.106587;7;Nonprofit;1079;2582.440;2.393;0.050;0.872;0.430;0.159;0.248;0.406;0.694;145;1054;175;1374;10.553;76.710;12.737;2983;2549;36;443;986;32;36;53;47;130;2945;1346;2776;2368;2867;67;2662
grid.51462.34;Memorial Sloan Kettering Cancer Ctr.;US;United States;North America;Global North;40.7642;-73.9561;6;Healthcare;27660;66186.200;2.393;0.048;0.706;0.338;0.163;0.265;0.412;0.701;3012;7902;2307;13221;22.782;59.769;17.450;250;114;36;2025;1514;35;30;30;41;106;406;98;268;185;2284;552;2000
grid.451388.3;Francis Crick Inst.;GB;United Kingdom;Europe;Global North;51.5255;-0.135457;4;Facility;5326;12688.200;2.382;0.047;0.819;0.611;0.178;0.285;0.443;0.737;552;1850;408;2810;19.644;65.836;14.520;1443;811;38;814;165;38;22;23;23;31;2108;771;1688;1250;2422;318;2453
grid.279885.9;Natl. Heart Lung  & Blood Inst.;US;United States;North America;Global North;39.0043;-77.1009;4;Facility;7688;18156.900;2.362;0.044;0.803;0.376;0.155;0.257;0.406;0.709;541;2028;597;3166;17.088;64.056;18.857;1025;588;39;963;1271;49;42;40;47;78;2136;706;1167;1111;2548;375;1740
grid.5072.0;Royal Marsden NHS Foundation Trust;GB;United Kingdom;Europe;Global North;51.4908;-0.1729;6;Healthcare;2391;5640.110;2.359;0.052;0.797;0.415;0.156;0.242;0.384;0.700;215;1142;215;1572;13.677;72.646;13.677;2561;1655;40;1007;1062;27;41;65;79;110;2795;1214;2566;2119;2721;145;2553
grid.424926.f;Royal Marsden Hosp.;GB;United Kingdom;Europe;Global North;51.4913;-0.172583;6;Healthcare;2939;6922.370;2.355;0.050;0.774;0.421;0.153;0.245;0.390;0.684;164;2058;444;2666;6.152;77.194;16.654;2309;1396;41;1271;1030;32;49;57;69;183;2900;693;1578;1325;2992;62;2141
grid.430814.a;Antoni van Leeuwenhoek Hosp.;NL;Netherlands;Europe;Global North;52.3509;4.82639;6;Healthcare;7403;17339.400;2.342;0.042;0.826;0.476;0.150;0.253;0.411;0.733;720;2141;699;3560;20.225;60.140;19.635;1056;625;42;762;701;68;55;45;44;35;1776;650;1015;992;2398;538;1574
grid.419635.c;Natl. Inst.  Diabetes  & Digestive  & Kidney Diseases;US;United States;North America;Global North;39.0036;-77.1011;4;Facility;6270;14676.500;2.341;0.043;0.744;0.329;0.158;0.255;0.406;0.718;447;1694;451;2592;17.245;65.355;17.400;1230;712;43;1612;1563;60;37;43;47;56;2330;848;1553;1365;2543;336;2011
grid.418424.f;Novartis (United States);US;United States;North America;Global North;40.8443;-74.5023;2;Company;5532;12733.700;2.302;0.048;0.822;0.539;0.158;0.253;0.402;0.714;1484;2171;509;4164;35.639;52.137;12.224;1389;808;44;797;411;35;37;45;54;66;948;640;1372;841;1652;878;2712
grid.116068.8;Massachusetts Inst.  Technology;US;United States;North America;Global North;42.3598;-71.0921;3;Education;62154;142396.000;2.291;0.049;0.760;0.476;0.165;0.268;0.423;0.731;7984;12712;5044;25740;31.018;49.386;19.596;53;22;45;1420;701;34;29;25;29;37;76;38;68;49;1907;992;1581
grid.62560.37;Brigham  & Women's Hosp.;US;United States;North America;Global North;42.3356;-71.1064;6;Healthcare;56968;129416.000;2.272;0.044;0.921;0.374;0.155;0.252;0.407;0.707;3600;16218;4289;24107;14.933;67.275;17.792;65;27;46;172;1281;49;42;48;46;84;315;25;102;57;2658;269;1937
grid.416868.5;Natl. Inst.  Mental Health;US;United States;North America;Global North;39.0037;-77.1046;4;Facility;5749;13012.400;2.263;0.044;0.759;0.393;0.154;0.263;0.422;0.728;480;1234;543;2257;21.267;54.674;24.059;1354;792;47;1432;1183;49;47;33;31;41;2259;1134;1290;1556;2355;764;716
grid.11478.3b;Ctr.  Genomic Regulation;ES;Spain;Europe;Global North;41.3852;2.19407;7;Nonprofit;2129;4816.290;2.262;0.047;0.944;0.658;0.162;0.265;0.429;0.735;146;656;210;1012;14.427;64.822;20.751;2680;1880;48;81;99;38;31;30;26;34;2944;2029;2600;2978;2689;349;1311
grid.419481.1;Novartis (Switzerl &);CH;Switzerland;Europe;Global North;47.5743;7.57973;2;Company;5840;13173.600;2.256;0.044;0.833;0.783;0.151;0.254;0.418;0.723;1356;2201;512;4069;33.325;54.092;12.583;1336;780;49;706;22;49;53;44;34;47;1012;623;1367;862;1788;787;2686
grid.14830.3e;John Innes Ctr.;GB;United Kingdom;Europe;Global North;52.6224;1.22133;4;Facility;2693;6069.340;2.254;0.048;0.770;0.594;0.173;0.300;0.471;0.762;339;813;316;1468;23.093;55.382;21.526;2430;1560;50;1312;224;35;26;19;15;15;2542;1701;2038;2247;2274;730;1144
grid.240871.8;St. Jude Children's Res. Hosp.;US;United States;North America;Global North;35.1535;-90.0422;6;Healthcare;8761;19675.300;2.246;0.044;0.761;0.367;0.155;0.248;0.390;0.699;987;2546;681;4214;23.422;60.418;16.160;914;557;51;1403;1319;49;42;53;69;114;1364;536;1033;828;2253;524;2213
grid.57828.30;Natl. Ctr.  Atmospheric Res.;US;United States;North America;Global North;39.9781;-105.275;4;Facility;8297;18605.800;2.242;0.046;0.890;0.552;0.161;0.263;0.424;0.740;366;726;203;1295;28.263;56.062;15.676;958;579;52;339;364;42;32;33;27;29;2493;1887;2641;2492;2045;691;2295
grid.419681.3;Natl. Inst.  Allergy  & Infectious Diseases;US;United States;North America;Global North;39.0666;-77.1118;4;Facility;12522;27963.600;2.233;0.044;0.769;0.422;0.158;0.260;0.414;0.721;1175;2743;996;4914;23.911;55.820;20.269;656;390;53;1323;1017;49;37;37;37;50;1173;490;719;697;2237;709;1442
grid.414021.2;Hennepin County Med. Ctr.;US;United States;North America;Global North;44.972;-93.2615;6;Healthcare;2054;4567.290;2.224;0.039;0.802;0.202;0.139;0.240;0.383;0.665;207;613;193;1013;20.434;60.513;19.052;2719;1950;54;968;2539;92;76;66;81;342;2806;2126;2701;2976;2390;519;1700
grid.434554.7;Joint Res. Ctr.;IT;Italy;Europe;Global North;45.8098;8.6312;5;Government;6007;13331.800;2.219;0.054;0.785;0.710;0.155;0.253;0.416;0.737;602;1122;309;2033;29.611;55.189;15.199;1295;771;55;1137;59;24;42;45;35;31;2006;1255;2064;1707;1976;739;2361
grid.16750.35;Princeton Univ.;US;United States;North America;Global North;40.3442;-74.6515;3;Education;33490;74291.300;2.218;0.043;0.755;0.475;0.154;0.257;0.413;0.730;2935;5257;2204;10396;28.232;50.568;21.201;189;85;56;1481;706;60;47;40;38;39;419;222;285;279;2048;945;1197
grid.1042.7;Walter  & Eliza Hall Inst.  Med. Res.;AU;Australia;Asia & Pacific;Global North;-37.798;144.956;7;Nonprofit;4190;9282.190;2.215;0.041;0.928;0.518;0.155;0.265;0.412;0.710;289;906;404;1599;18.074;56.660;25.266;1798;1081;57;139;488;73;42;30;41;77;2636;1549;1699;2090;2502;674;542
grid.184769.5;Lawrence Berkeley Natl. Laboratory;US;United States;North America;Global North;37.8754;-122.246;4;Facility;30155;66770.400;2.214;0.041;0.911;0.559;0.149;0.252;0.413;0.731;2141;5859;1264;9264;23.111;63.245;13.644;218;112;58;214;336;73;57;48;38;37;620;178;567;323;2271;415;2559
grid.168010.e;St & Univ.;US;United States;North America;Global North;37.43;-122.17;3;Education;104337;230936.000;2.213;0.045;0.718;0.376;0.151;0.250;0.402;0.707;12314;23374;7726;43414;28.364;53.840;17.796;11;2;59;1887;1271;44;53;52;54;84;26;8;17;10;2038;797;1936
grid.451056.3;Natl. Inst.  Health Res.;GB;United Kingdom;Europe;Global North;51.5027;-0.12535;5;Government;3191;7055.980;2.211;0.044;0.957;0.503;0.150;0.247;0.401;0.725;114;2170;128;2412;4.726;89.967;5.307;2197;1378;60;51;559;49;55;56;59;45;2988;641;2945;1466;3003;2;3002
grid.417832.b;Biogen (United States);US;United States;North America;Global North;42.3664;-71.0853;2;Company;1758;3885.470;2.210;0.037;0.787;0.453;0.147;0.243;0.406;0.716;486;716;182;1384;35.116;51.734;13.150;2827;2128;61;1120;835;113;62;61;47;60;2246;1905;2748;2352;1684;889;2614
grid.417886.4;Amgen (United States);US;United States;North America;Global North;34.1736;-118.838;2;Company;4934;10876.300;2.204;0.043;0.667;0.357;0.140;0.227;0.382;0.691;1713;1687;465;3865;44.321;43.648;12.031;1558;946;62;2432;1384;60;74;93;85;143;804;855;1512;911;1092;1289;2737
grid.410540.4;Natl. Univ. Hosp.  Icel &;IS;Iceland;Europe;Global North;64.1383;-21.9272;6;Healthcare;2453;5406.960;2.204;0.052;0.958;0.726;0.141;0.226;0.358;0.684;188;738;233;1159;16.221;63.676;20.104;2533;1704;62;49;49;27;72;103;174;183;2847;1866;2462;2698;2596;398;1482
grid.38142.3c;Harvard Univ.;US;United States;North America;Global North;42.3771;-71.1167;3;Education;212231;466719.000;2.199;0.043;0.892;0.426;0.153;0.251;0.404;0.713;17586;56069;17649;91304;19.261;61.409;19.330;1;1;64;324;999;60;49;51;51;72;11;1;1;1;2440;482;1639
grid.239359.7;Barnes-Jewish Hosp.;US;United States;North America;Global North;38.6353;-90.2652;6;Healthcare;1382;3034.320;2.196;0.024;0.831;0.131;0.104;0.185;0.312;0.578;143;981;163;1287;11.111;76.224;12.665;2941;2404;65;718;2925;538;402;404;571;1513;2948;1445;2826;2505;2847;78;2673
grid.486749.0;Baylor Scott & White Health;US;United States;North America;Global North;32.7935;-96.7844;6;Healthcare;2465;5400.960;2.191;0.034;0.819;0.304;0.119;0.202;0.335;0.644;240;1197;210;1647;14.572;72.678;12.751;2527;1708;66;814;1746;165;207;235;331;581;2748;1158;2600;2041;2682;143;2660
grid.431778.e;World Bank;US;United States;North America;Global North;38.8993;-77.0425;8;Other;3113;6804.650;2.186;0.044;0.727;0.517;0.147;0.236;0.375;0.706;505;511;265;1281;39.422;39.891;20.687;2231;1416;67;1784;492;49;62;71;109;88;2210;2352;2282;2509;1393;1494;1330
grid.94365.3d;Natl. Inst.s  Health;US;United States;North America;Global North;39.0004;-77.1024;5;Government;11701;25530.100;2.182;0.040;0.805;0.406;0.135;0.227;0.370;0.676;660;9493;1372;11525;5.727;82.369;11.905;693;427;68;952;1109;84;95;93;129;245;1875;71;521;232;2996;18;2751
grid.412917.8;Christie Hosp. NHS Foundation Trust;GB;United Kingdom;Europe;Global North;53.4297;-2.22861;6;Healthcare;1674;3650.720;2.181;0.042;0.854;0.357;0.134;0.215;0.355;0.677;160;681;174;1015;15.764;67.094;17.143;2865;2211;69;547;1384;68;99;154;192;231;2905;1966;2781;2968;2613;274;2068
grid.452723.5;Ctr.  Life Sciences;CN;China;Asia & Pacific;Global South;39.9173;116.402;3;Education;1961;4270.140;2.178;0.035;0.942;0.260;0.136;0.243;0.402;0.724;332;719;181;1232;26.948;58.360;14.692;2745;2023;70;86;2081;146;92;61;54;46;2550;1899;2756;2588;2120;608;2427
grid.460094.f;Ospedale Papa Giovanni XXIII;IT;Italy;Europe;Global North;45.6865;9.6389;6;Healthcare;2600;5657.870;2.176;0.044;0.831;0.389;0.139;0.234;0.388;0.688;281;811;165;1257;22.355;64.519;13.127;2471;1650;71;718;1203;49;76;76;74;163;2653;1705;2820;2545;2310;363;2620
grid.418190.5;Thermo Fisher Scientific (United States);US;United States;North America;Global North;42.3999;-71.2581;2;Company;1492;3246.360;2.176;0.038;0.788;0.409;0.137;0.225;0.355;0.655;381;528;105;1014;37.574;52.071;10.355;2919;2343;71;1110;1096;101;86;105;192;436;2466;2313;2997;2974;1524;882;2867
grid.250674.2;Lunenfeld-Tanenbaum Res. Inst.;CA;Canada;North America;Global North;43.6575;-79.3907;4;Facility;1729;3762.670;2.176;0.041;0.964;0.581;0.145;0.244;0.402;0.723;104;730;174;1008;10.318;72.421;17.262;2839;2175;71;35;263;73;65;59;54;47;2999;1881;2781;2986;2884;153;2049
grid.417068.c;Western General Hosp.;GB;United Kingdom;Europe;Global North;55.9633;-3.23271;6;Healthcare;3906;8488.790;2.173;0.042;0.854;0.406;0.135;0.227;0.367;0.665;332;1247;508;2087;15.908;59.751;24.341;1905;1173;74;547;1109;68;95;93;134;342;2550;1122;1374;1670;2610;554;667
grid.280747.e;VA Palo Alto Health Care System;US;United States;North America;Global North;37.4044;-122.141;6;Healthcare;4865;10528.800;2.164;0.040;0.918;0.214;0.132;0.215;0.361;0.695;298;1558;299;2155;13.828;72.297;13.875;1579;984;75;185;2448;84;115;154;158;127;2613;916;2135;1622;2713;156;2538
grid.205975.c;Univ.  Calinia, Santa Cruz;US;United States;North America;Global North;37;-122.06;3;Education;15622;33794.500;2.163;0.039;0.808;0.521;0.139;0.230;0.382;0.711;1901;2096;1105;5102;37.260;41.082;21.658;535;313;76;920;471;92;76;86;85;75;713;670;651;667;1543;1428;1118
grid.50956.3f;Cedars-Sinai Med. Ctr.;US;United States;North America;Global North;34.0763;-118.381;6;Healthcare;11838;25484.100;2.153;0.039;0.731;0.340;0.135;0.222;0.365;0.681;1315;3732;755;5802;22.665;64.323;13.013;685;428;77;1738;1502;92;95;118;143;205;1042;340;942;595;2289;369;2633
grid.410569.f;Universitair Ziekenhuis Leuven;BE;Belgium;Europe;Global North;50.8804;4.6955;6;Healthcare;15463;33278.200;2.152;0.041;0.846;0.574;0.139;0.225;0.371;0.682;947;4419;1287;6653;14.234;66.421;19.345;541;321;78;608;290;73;76;105;125;197;1409;275;555;507;2701;300;1631
grid.270240.3;Fred Hutchinson Cancer Res. Ctr.;US;United States;North America;Global North;47.6273;-122.331;7;Nonprofit;11993;25788.800;2.150;0.038;0.889;0.383;0.139;0.235;0.392;0.716;990;3053;809;4852;20.404;62.923;16.674;678;424;79;346;1234;101;76;74;66;60;1357;431;881;708;2393;430;2139
grid.32224.35;Massachusetts General Hosp.;US;United States;North America;Global North;42.3628;-71.0686;6;Healthcare;68983;148028.000;2.146;0.041;0.886;0.367;0.144;0.236;0.385;0.691;5394;17978;6585;29957;18.006;60.013;21.982;41;18;80;360;1319;73;66;71;78;143;162;17;31;31;2506;541;1061
grid.7147.5;Aga Khan Univ.;PK;Pakistan;Asia & Pacific;Global South;24.892;67.0735;3;Education;3595;7704.160;2.143;0.037;0.664;0.549;0.095;0.141;0.255;0.555;531;868;733;2132;24.906;40.713;34.381;2022;1281;81;2452;381;113;589;1142;1322;1801;2154;1618;975;1639;2196;1446;87
grid.8991.9;London School  Hygiene & Tropical Medicine;GB;United Kingdom;Europe;Global North;51.5209;-0.1307;3;Education;24070;51574.300;2.143;0.038;0.887;0.717;0.133;0.226;0.377;0.703;959;3744;1091;5794;16.552;64.619;18.830;306;174;81;353;56;101;107;103;103;99;1393;339;667;598;2580;360;1746
grid.48336.3a;Natl. Cancer Inst.;US;United States;North America;Global North;39.0043;-77.1012;5;Government;21865;46783.000;2.140;0.037;0.795;0.385;0.132;0.221;0.371;0.688;1178;7784;2311;11273;10.450;69.050;20.500;352;200;83;1030;1223;113;115;120;125;163;1164;102;267;242;2874;227;1383
grid.47840.3f;Univ.  Calinia, Berkeley;US;United States;North America;Global North;37.8722;-122.259;3;Education;68081;145355.000;2.135;0.040;0.782;0.436;0.149;0.248;0.403;0.718;7812;12487;6222;26521;29.456;47.083;23.461;44;20;84;1177;947;84;57;53;53;56;83;40;37;42;1987;1102;828
